LICENCIATURA,TAREA,PESO,RIESGO_TAREA,,,,,,,,,,
Ingeniería en Alimentos,Creatividad en soluciones legales,9,0.306,,,,,,,,,,
Ingeniería en Alimentos,Creatividad espacial,1,0.306,,,,,,,,,,
Ingeniería en Ciencias de la Computación,Colaboración en entornos técnicos,1,0.336,,,,,,,,,,
Ingeniería en Ciencias de la Computación,Negociación,5,0.336,,,,,,,,,,
Ingeniería en Ciencias de la Computación,Gestión del cambio,4,0.336,,,,,,,,,,
Ingeniería en Ciencias de la Computación,Empatía,9,0.336,,,,,,,,,,
Ingeniería en Ciencias de la Computación,Pensamiento sistémico y crítico,2,0.336,,,,,,,,,,
Ingeniería en Geofísica,Comunicación persuasiva,4,0.261,,,,,,,,,,
Ingeniería en Geofísica,Juicio ético,7,0.261,,,,,,,,,,
Ingeniería en Geofísica,Pensamiento sistémico,5,0.261,,,,,,,,,,
Ingeniería en Geofísica,Creatividad narrativa,4,0.261,,,,,,,,,,
Ingeniería en Geofísica,Resolución de conflictos,5,0.261,,,,,,,,,,
Ingeniería en Materiales,Diseño de experiencias (UX/UI),3,0.292,,,,,,,,,,
Ingeniería en Materiales,Resolución de problemas en condiciones variables,1,0.292,,,,,,,,,,
Ingeniería en Materiales,Resolución de problemas no estructurados,6,0.292,,,,,,,,,,
Ingeniería en Materiales,Juicio ético,5,0.292,,,,,,,,,,
Ingeniería en Materiales,Capacidad de análisis financiero y normativo,9,0.292,,,,,,,,,,
Ingeniería Industrial,Aprendizaje continuo,3,0.198,,,,,,,,,,
Ingeniería Industrial,Análisis contextual e histórico,9,0.198,,,,,,,,,,
Ingeniería Industrial,Investigación cualitativa,1,0.198,,,,,,,,,,
Ingeniería Industrial,Pensamiento sistémico y crítico,5,0.198,,,,,,,,,,
Ingeniería Industrial,Comunicación con equipos,5,0.198,,,,,,,,,,
Ingeniería Mecánica y Eléctrica,Intervención en crisis,6,0.341,,,,,,,,,,
Ingeniería Mecánica y Eléctrica,Gestión del cambio,7,0.341,,,,,,,,,,
Ingeniería Mecánica y Eléctrica,Creatividad conceptual,7,0.341,,,,,,,,,,
Ingeniería Mecánica y Eléctrica,Investigación cualitativa,7,0.341,,,,,,,,,,
Ingeniería Mecánica y Eléctrica,Pensamiento crítico (verificación de hechos),6,0.341,,,,,,,,,,
Ingeniería Química,Gestión de proyectos complejos,6,0.316,,,,,,,,,,
Ingeniería Química,Curaduría y estrategia de contenido,10,0.316,,,,,,,,,,
Ingeniería Química,Liderazgo en infraestructura sostenible,9,0.316,,,,,,,,,,
Ingeniería Química,Comunicación efectiva,10,0.316,,,,,,,,,,
Ingeniería Química,Pensamiento de diseño,10,0.316,,,,,,,,,,
Ingeniería Textil,Ética profesional,6,0.357,,,,,,,,,,
Ingeniería Textil,Creatividad conceptual,7,0.357,,,,,,,,,,
Ingeniería Textil,Diseño de experiencias (UX/UI),2,0.357,,,,,,,,,,
Ingeniería Textil,Diseño de entornos resilientes,7,0.357,,,,,,,,,,
Ingeniería Textil,Pensamiento crítico (verificación de hechos),2,0.357,,,,,,,,,,
Ingeniería Topográfica y Geodésica,Comunicación con equipos,6,0.221,,,,,,,,,,
Ingeniería Topográfica y Geodésica,Liderazgo transformacional,10,0.221,,,,,,,,,,
Ingeniería Topográfica y Geodésica,Resolución de conflictos,7,0.221,,,,,,,,,,
Ingeniería Topográfica y Geodésica,Empatía cultural,1,0.221,,,,,,,,,,
Ingeniería Topográfica y Geodésica,Pensamiento sistémico,7,0.221,,,,,,,,,,
Ingeniería en Gestión Empresarial,Ética en desarrollo tecnológico,8,0.222,,,,,,,,,,
Ingeniería en Gestión Empresarial,Comunicación efectiva,1,0.222,,,,,,,,,,
Ingeniería en Gestión Empresarial,Creatividad para resolver problemas inéditos,6,0.222,,,,,,,,,,
Ingeniería en Gestión Empresarial,Liderazgo en entornos automatizados,8,0.222,,,,,,,,,,
Ingeniería en Gestión Empresarial,Creatividad conceptual,7,0.222,,,,,,,,,,
Ingeniería en Industrias Alimentarias,Curaduría y estrategia de contenido,8,0.329,,,,,,,,,,
Ingeniería en Industrias Alimentarias,Pensamiento de diseño,6,0.329,,,,,,,,,,
Ingeniería en Industrias Alimentarias,Colaboración multidisciplinaria,2,0.329,,,,,,,,,,
Ingeniería en Industrias Alimentarias,Resolución de problemas visuales,9,0.329,,,,,,,,,,
Ingeniería en Industrias Alimentarias,Creatividad espacial,6,0.329,,,,,,,,,,
Ingeniería en Innovación Agrícola Sustentable,Pensamiento crítico (verificación de hechos),7,0.283,,,,,,,,,,
Ingeniería en Innovación Agrícola Sustentable,Investigación cualitativa,5,0.283,,,,,,,,,,
Ingeniería en Innovación Agrícola Sustentable,Comunicación empática,7,0.283,,,,,,,,,,
Ingeniería en Innovación Agrícola Sustentable,Creatividad espacial,1,0.283,,,,,,,,,,
Ingeniería en Innovación Agrícola Sustentable,Ética y empatía,1,0.283,,,,,,,,,,
Ingeniería Mecánica,Integración tecnológica (IA e Industria 4.0),6,0.238,,,,,,,,,,
Ingeniería Mecánica,Visión holística,9,0.238,,,,,,,,,,
Ingeniería Mecánica,Interpretación estética y funcional,6,0.238,,,,,,,,,,
Ingeniería Mecánica,Creatividad en soluciones legales,10,0.238,,,,,,,,,,
Ingeniería Mecánica,Diagnóstico complejo,8,0.238,,,,,,,,,,
Ingeniería Eléctrica,Integración tecnológica (IA e Industria 4.0),5,0.278,,,,,,,,,,
Ingeniería Eléctrica,Resolución de problemas en condiciones variables,10,0.278,,,,,,,,,,
Ingeniería Eléctrica,Empatía cultural,2,0.278,,,,,,,,,,
Ingeniería Eléctrica,Investigación cualitativa,2,0.278,,,,,,,,,,
Ingeniería Eléctrica,Comunicación con equipos,4,0.278,,,,,,,,,,
Ingeniería Mecatrónica,Liderazgo en infraestructura sostenible,4,0.269,,,,,,,,,,
Ingeniería Mecatrónica,Comunicación persuasiva,7,0.269,,,,,,,,,,
Ingeniería Mecatrónica,Creatividad conceptual,9,0.269,,,,,,,,,,
Ingeniería Mecatrónica,Creatividad para resolver problemas inéditos,8,0.269,,,,,,,,,,
Ingeniería Mecatrónica,Colaboración en entornos técnicos,10,0.269,,,,,,,,,,
Ingeniería en Electromecánica,Negociación y resolución de conflictos humanos,4,0.389,,,,,,,,,,
Ingeniería en Electromecánica,Diseño de experiencias (UX/UI),9,0.389,,,,,,,,,,
Ingeniería en Electromecánica,Investigación cualitativa,9,0.389,,,,,,,,,,
Ingeniería en Electromecánica,Liderazgo en infraestructura sostenible,9,0.389,,,,,,,,,,
Ingeniería en Electromecánica,Resolución de fallas complejas,4,0.389,,,,,,,,,,
Ingeniería Forestal,Empatía cultural,4,0.361,,,,,,,,,,
Ingeniería Forestal,Pensamiento crítico y ético,5,0.361,,,,,,,,,,
Ingeniería Forestal,Resolución de problemas en condiciones variables,10,0.361,,,,,,,,,,
Ingeniería Forestal,Comunicación empática,9,0.361,,,,,,,,,,
Ingeniería Forestal,Investigación cualitativa,7,0.361,,,,,,,,,,
Cinematografía,Pensamiento sistémico,4,0.285,,,,,,,,,,
Cinematografía,Pensamiento crítico y ético,6,0.285,,,,,,,,,,
Cinematografía,Comunicación persuasiva,6,0.285,,,,,,,,,,
Cinematografía,Aprendizaje continuo,10,0.285,,,,,,,,,,
Cinematografía,Creatividad espacial,8,0.285,,,,,,,,,,
Relaciones Internacionales,Pensamiento crítico y ético,3,0.35,,,,,,,,,,
Relaciones Internacionales,Investigación cualitativa,9,0.35,,,,,,,,,,
Relaciones Internacionales,Diseño de entornos resilientes,6,0.35,,,,,,,,,,
Relaciones Internacionales,Liderazgo en entornos automatizados,8,0.35,,,,,,,,,,
Relaciones Internacionales,Innovación en robótica,10,0.35,,,,,,,,,,
Pedagogía,Creatividad conceptual,4,0.172,,,,,,,,,,
Pedagogía,Ética profesional,10,0.172,,,,,,,,,,
Pedagogía,Gestión de proyectos complejos,7,0.172,,,,,,,,,,
Pedagogía,Liderazgo en infraestructura sostenible,4,0.172,,,,,,,,,,
Pedagogía,Resolución de conflictos,2,0.172,,,,,,,,,,
Logística,Pensamiento sistémico,9,0.175,,,,,,,,,,
Logística,Pensamiento crítico y ético,6,0.175,,,,,,,,,,
Logística,Comunicación empática,2,0.175,,,,,,,,,,
Logística,Creatividad en soluciones legales,3,0.175,,,,,,,,,,
Logística,Gestión de proyectos complejos,2,0.175,,,,,,,,,,
Ingeniería Biomédica,Ética profesional,9,0.334,,,,,,,,,,
Ingeniería Biomédica,Integración tecnológica (IA e Industria 4.0),10,0.334,,,,,,,,,,
Ingeniería Biomédica,Pensamiento de diseño,1,0.334,,,,,,,,,,
Ingeniería Biomédica,Pensamiento sistémico,7,0.334,,,,,,,,,,
Ingeniería Biomédica,Interpretación estética y funcional,7,0.334,,,,,,,,,,
Ingeniería en Telecomunicaciones,Creatividad técnica,7,0.29,,,,,,,,,,
Ingeniería en Telecomunicaciones,Creatividad para resolver problemas inéditos,8,0.29,,,,,,,,,,
Ingeniería en Telecomunicaciones,Aprendizaje continuo,2,0.29,,,,,,,,,,
Ingeniería en Telecomunicaciones,Pensamiento sistémico,2,0.29,,,,,,,,,,
Ingeniería en Telecomunicaciones,Comunicación empática,4,0.29,,,,,,,,,,
Ingeniería en Inteligencia Artificial,Resolución de fallas complejas,2,0.341,,,,,,,,,,
Ingeniería en Inteligencia Artificial,Visión artística,3,0.341,,,,,,,,,,
Ingeniería en Inteligencia Artificial,Aprendizaje continuo,1,0.341,,,,,,,,,,
Ingeniería en Inteligencia Artificial,Diseño de políticas sociales,10,0.341,,,,,,,,,,
Ingeniería en Inteligencia Artificial,Toma de decisiones en campo,1,0.341,,,,,,,,,,
Ingeniería en Nanotecnología,Innovación en robótica,9,0.275,,,,,,,,,,
Ingeniería en Nanotecnología,Ética en desarrollo tecnológico,4,0.275,,,,,,,,,,
Ingeniería en Nanotecnología,Diagnóstico complejo,2,0.275,,,,,,,,,,
Ingeniería en Nanotecnología,Pensamiento crítico (verificación de hechos),6,0.275,,,,,,,,,,
Ingeniería en Nanotecnología,Diseño de políticas sociales,5,0.275,,,,,,,,,,
Ingeniería Petrolera,Resolución de conflictos,1,0.349,,,,,,,,,,
Ingeniería Petrolera,Comunicación efectiva,7,0.349,,,,,,,,,,
Ingeniería Petrolera,Creatividad técnica,1,0.349,,,,,,,,,,
Ingeniería Petrolera,Argumentación persuasiva,7,0.349,,,,,,,,,,
Ingeniería Petrolera,Gestión del cambio,10,0.349,,,,,,,,,,
Ingeniería en Transporte,Visión holística,8,0.303,,,,,,,,,,
Ingeniería en Transporte,Análisis contextual e histórico,10,0.303,,,,,,,,,,
Ingeniería en Transporte,Innovación en robótica,10,0.303,,,,,,,,,,
Ingeniería en Transporte,Argumentación persuasiva,8,0.303,,,,,,,,,,
Ingeniería en Transporte,Pensamiento crítico y ético,5,0.303,,,,,,,,,,
Ingeniería Ferroviaria,Comunicación persuasiva,4,0.312,,,,,,,,,,
Ingeniería Ferroviaria,Argumentación persuasiva,5,0.312,,,,,,,,,,
Ingeniería Ferroviaria,Empatía con el cliente,1,0.312,,,,,,,,,,
Ingeniería Ferroviaria,Creatividad técnica,10,0.312,,,,,,,,,,
Ingeniería Ferroviaria,Pensamiento analítico profundo,10,0.312,,,,,,,,,,
Ingeniería Aeroespacial,Narrativa emocional,8,0.157,,,,,,,,,,
Ingeniería Aeroespacial,Toma de decisiones en campo,2,0.157,,,,,,,,,,
Ingeniería Aeroespacial,Creatividad técnica,1,0.157,,,,,,,,,,
Ingeniería Aeroespacial,Pensamiento de diseño,4,0.157,,,,,,,,,,
Ingeniería Aeroespacial,Gestión de proyectos complejos,7,0.157,,,,,,,,,,
Ingeniería Naval,Diseño de entornos resilientes,8,0.365,,,,,,,,,,
Ingeniería Naval,Investigación profunda,8,0.365,,,,,,,,,,
Ingeniería Naval,Diseño de experiencias (UX/UI),6,0.365,,,,,,,,,,
Ingeniería Naval,Visión artística,5,0.365,,,,,,,,,,
Ingeniería Naval,Creatividad narrativa,5,0.365,,,,,,,,,,
Ingeniería en Ciberseguridad,Comunicación empática,3,0.363,,,,,,,,,,
Ingeniería en Ciberseguridad,Liderazgo en infraestructura sostenible,7,0.363,,,,,,,,,,
Ingeniería en Ciberseguridad,Ética y empatía,8,0.363,,,,,,,,,,
Ingeniería en Ciberseguridad,Comunicación con equipos,5,0.363,,,,,,,,,,
Ingeniería en Ciberseguridad,Ética en desarrollo tecnológico,4,0.363,,,,,,,,,,
Ingeniería en Ciencias de Datos,Inteligencia emocional,10,0.336,,,,,,,,,,
Ingeniería en Ciencias de Datos,Aprendizaje continuo,9,0.336,,,,,,,,,,
Ingeniería en Ciencias de Datos,Empatía cultural,8,0.336,,,,,,,,,,
Ingeniería en Ciencias de Datos,Creatividad espacial,10,0.336,,,,,,,,,,
Ingeniería en Ciencias de Datos,Pensamiento sistémico y crítico,2,0.336,,,,,,,,,,
